IMEI_message_id,datetime,latitude,longitude,CEPradius
IMEI_message_id,datetime,latitude,longitude,CEPradius
300434063684440,2021-04-15 17:01:57,47.68626,-122.27090,4
300434063684440,2021-04-15 17:07:09,47.69211,-122.15230,9
300434063684440,2021-04-15 17:07:18,47.70046,-122.22582,8
300434063684440,2021-04-15 17:07:34,47.70046,-122.22582,7
300434063684440,2021-04-15 17:07:43,47.70046,-122.22582,7
300434063684440,2021-04-15 17:07:57,47.70046,-122.22582,6
300434063684440,2021-04-15 17:08:10,47.70046,-122.22582,5
300434063684440,2021-04-15 17:08:25,47.67794,-122.19740,5
300434063684440,2021-04-15 17:08:41,47.68626,-122.27090,4
300434063684440,2021-04-15 17:08:59,47.70046,-122.22582,3
300434063684440,2021-04-15 17:10:45,47.70046,-122.22582,2
300434063684440,2021-04-15 17:10:57,47.70046,-122.22582,2
300434063684440,2021-04-15 17:12:17,47.70046,-122.22582,4
300434063684440,2021-04-15 17:13:48,47.70046,-122.22582,9
300434063684440,2021-04-15 17:17:38,47.70046,-122.22582,4
300434063684440,2021-04-15 17:17:49,47.70046,-122.22582,3
300434063684440,2021-04-15 17:18:01,47.70046,-122.22582,3
300434063684440,2021-04-15 17:18:14,47.70046,-122.22582,3
300434063684440,2021-04-15 18:02:24,47.70046,-122.22582,4
300434063684440,2021-04-15 18:03:44,47.70046,-122.22582,3
300434063684440,2021-04-15 21:01:08,47.70046,-122.22582,5
300434063684440,2021-04-15 21:01:16,47.70876,-122.29938,6
300434063684440,2021-04-16 00:01:17,47.70046,-122.22582,3
300434063684440,2021-04-16 00:01:28,47.70046,-122.22582,3
300434063684440,2021-04-16 03:02:44,47.70876,-122.29938,7
300434063684440,2021-04-16 03:02:52,47.70876,-122.29938,7
300434063684440,2021-04-16 06:03:52,47.68626,-122.27090,3
300434063684440,2021-04-16 06:04:01,47.68626,-122.27090,3
300434063684440,2021-04-16 09:01:15,47.70046,-122.22582,4
300434063684440,2021-04-16 09:02:28,47.72299,-122.25427,6
300434063684440,2021-04-16 12:00:36,47.68626,-122.27090,3
300434063684440,2021-04-16 12:00:47,47.70046,-122.22582,3
300434063684440,2021-04-16 15:01:01,47.70046,-122.22582,2
300434063684440,2021-04-16 15:01:59,47.70046,-122.22582,3
300434063684440,2021-04-16 18:04:35,47.68626,-122.27090,2
300434063684440,2021-04-16 18:04:49,47.68626,-122.27090,2
