,time,pressure,fr_temp,fr_temp_ADC,par,fluor,tilt,datetime,depth_m,id,dep_lat,dep_lon
2,1618462644.0,0.33782958984375,9.200246515157517,17669,0.0,0.19027584,11,2021-04-15 04:57:24,3.35504330113294,4440,47.687823,-122.258931
3,1618462644.0,0.3363037109375,9.200246515157517,17669,0.0,0.19027584,11,2021-04-15 04:57:24,3.339889537351852,4440,47.687823,-122.258931
4,1618462644.25,0.33050537109375,9.201427026752071,17668,0.0,0.21800448,10,2021-04-15 04:57:24.250000,3.2823052349837165,4440,47.687823,-122.258931
5,1618462644.5,0.32745361328125,9.203788275159923,17666,0.0,0.20461824,6,2021-04-15 04:57:24.500000,3.25199770742154,4440,47.687823,-122.258931
6,1618462644.75,0.3204345703125,9.204969011991182,17665,0.0,0.206339328,6,2021-04-15 04:57:24.750000,3.182290394028534,4440,47.687823,-122.258931
7,1618462645.0,0.30975341796875,9.20733071095384,17663,0.0,0.247071744,5,2021-04-15 04:57:25,3.0762140475609163,4440,47.687823,-122.258931
8,1618462645.25,0.2960205078125,9.209692710377055,17661,0.0,0.191996928,8,2021-04-15 04:57:25.250000,2.9398301735311216,4440,47.687823,-122.258931
9,1618462645.5,0.28045654296875,9.212055010333302,17659,0.0,0.20155852800000001,10,2021-04-15 04:57:25.500000,2.785261782964022,4440,47.687823,-122.258931
10,1618462645.75,0.26641845703125,9.215599023926018,17656,0.0,0.229095936,11,2021-04-15 04:57:25.750000,2.6458471561780095,4440,47.687823,-122.258931
11,1618462646.0,0.2618408203125,9.219143714126403,17653,0.0,0.278625024,64,2021-04-15 04:57:26,2.600385864834745,4440,47.687823,-122.258931
12,1618462646.25,0.24749755859375,9.223871020651416,17649,0.0,0.256442112,13,2021-04-15 04:57:26.250000,2.4579404852925153,4440,47.687823,-122.258931
13,1618462646.5,0.245361328125,9.228599531051827,17645,0.0,0.218195712,12,2021-04-15 04:57:26.500000,2.4367252159989916,4440,47.687823,-122.258931
14,1618462646.75,0.24932861328125,9.233329245909488,17641,0.0,0.227757312,7,2021-04-15 04:57:26.750000,2.4761250018298213,4440,47.687823,-122.258931
15,1618462647.0,0.25177001953125,9.238060165806587,17637,0.0,0.23617152,5,2021-04-15 04:57:27,2.5003710238795622,4440,47.687823,-122.258931
16,1618462647.25,0.2447509765625,9.242792291325827,17633,0.0,0.225844992,6,2021-04-15 04:57:27.250000,2.4306637104865563,4440,47.687823,-122.258931
17,1618462647.5,0.234375,9.246342177005602,17630,0.0,0.222594048,8,2021-04-15 04:57:27.500000,2.3276181167751564,4440,47.687823,-122.258931
18,1618462647.75,0.2191162109375,9.251076413766839,17626,0.0,0.21322368,11,2021-04-15 04:57:27.750000,2.176080478964274,4440,47.687823,-122.258931
19,1618462648.0,0.2008056640625,9.254627883548267,17623,0.0,0.205956864,14,2021-04-15 04:57:28,1.9942353135912145,4440,47.687823,-122.258931
20,1618462648.25,0.18341064453125,9.259364233339454,17619,0.0,0.20939904,14,2021-04-15 04:57:28.250000,1.8214824064868085,4440,47.687823,-122.258931
21,1618462648.5,0.167236328125,9.264101791380028,17615,0.019876712328767126,0.20672179200000002,17,2021-04-15 04:57:28.500000,1.6608525104072729,4440,47.687823,-122.258931
22,1618462648.75,0.155029296875,9.271210395187836,17609,0.0,0.211885056,15,2021-04-15 04:57:28.750000,1.539622400158567,4440,47.687823,-122.258931
23,1618462649.0,0.1556396484375,9.280692767933829,17601,0.0,0.22087296,12,2021-04-15 04:57:29,1.5456839056710021,4440,47.687823,-122.258931
