IMEI_message_id,time,latitude,longitude,CEPradius
300434063921240,2019-06-29 14:03:51,72.42266,-163.51671,6
300434063921240,2019-06-29 14:04:00,72.42266,-163.51671,5
300434063921240,2019-06-29 14:04:08,72.45544,-163.48297,5
300434063921240,2019-06-29 14:04:17,72.45544,-163.48297,5
300434063921240,2019-06-29 14:04:28,72.45544,-163.48297,4
300434063921240,2019-06-29 14:04:40,72.45544,-163.48297,4
300434063921240,2019-06-29 14:04:49,72.45544,-163.48297,4
300434063921240,2019-06-29 14:04:57,72.44569,-163.36905,4
300434063921240,2019-06-29 14:05:06,72.45544,-163.48297,4
300434063921240,2019-06-29 14:05:15,72.42266,-163.51671,3
300434063921240,2019-06-29 14:05:23,72.41293,-163.40299,3
300434063921240,2019-06-29 14:05:31,72.42266,-163.51671,3
300434063921240,2019-06-29 14:05:40,72.43232,-163.63056,3
300434063921240,2019-06-29 14:05:49,72.42266,-163.51671,3
300434063921240,2019-06-29 14:05:58,72.43232,-163.63056,3
300434063921240,2019-06-29 14:06:06,72.42266,-163.51671,3
300434063921240,2019-06-29 14:06:15,72.42266,-163.51671,3
300434063921240,2019-06-29 14:06:23,72.45544,-163.48297,3
300434063921240,2019-06-29 14:06:36,72.42266,-163.51671,4
300434063921240,2019-06-29 14:06:48,72.42266,-163.51671,4
300434063921240,2019-06-29 14:06:58,72.42266,-163.51671,4
300434063921240,2019-06-29 14:07:07,72.43232,-163.63056,4
300434063921240,2019-06-29 14:29:34,72.46513,-163.59703,9
300434063921240,2019-06-29 14:29:42,72.45544,-163.48297,9
300434063921240,2019-06-29 14:29:54,72.45544,-163.48297,8
300434063921240,2019-06-29 14:30:02,72.45544,-163.48297,8
300434063921240,2019-06-29 14:30:11,72.45544,-163.48297,7
300434063921240,2019-06-29 14:30:20,72.45544,-163.48297,7
300434063921240,2019-06-29 14:30:28,72.45544,-163.48297,6
300434063921240,2019-06-29 14:30:37,72.45544,-163.48297,6
300434063921240,2019-06-29 14:32:03,72.45544,-163.48297,3
300434063921240,2019-06-29 14:32:13,72.45544,-163.48297,3
300434063921240,2019-06-29 14:32:21,72.46513,-163.59703,3
300434063921240,2019-06-29 14:32:34,72.42266,-163.51671,2
300434063921240,2019-06-29 14:32:44,72.45544,-163.48297,2
300434063921240,2019-06-29 14:32:53,72.42266,-163.51671,2
300434063921240,2019-06-29 14:33:11,72.42266,-163.51671,2
300434063921240,2019-06-29 14:33:19,72.42266,-163.51671,2
300434063921240,2019-06-29 14:33:27,72.42266,-163.51671,2
300434063921240,2019-06-29 14:33:36,72.42266,-163.51671,2
300434063921240,2019-06-29 14:33:44,72.45544,-163.48297,2
300434063921240,2019-06-29 14:33:54,72.42266,-163.51671,2
300434063921240,2019-06-29 14:34:03,72.42266,-163.51671,2
300434063921240,2019-06-29 14:34:12,72.42266,-163.51671,2
300434063921240,2019-06-29 14:34:25,72.42266,-163.51671,2
300434063921240,2019-06-29 14:34:37,72.46513,-163.59703,3
300434063921240,2019-06-29 14:34:57,72.42266,-163.51671,3
300434063921240,2019-06-29 14:35:05,72.42266,-163.51671,3
300434063921240,2019-06-29 14:35:14,72.42266,-163.51671,3
300434063921240,2019-06-29 14:35:24,72.45544,-163.48297,4
300434063921240,2019-06-29 14:38:45,72.45544,-163.48297,9
300434063921240,2019-06-29 14:38:54,72.45544,-163.48297,8
300434063921240,2019-06-29 14:39:02,72.45544,-163.48297,8
300434063921240,2019-06-29 14:39:11,72.42266,-163.51671,7
300434063921240,2019-06-29 14:39:21,72.45544,-163.48297,7
300434063921240,2019-06-29 14:39:30,72.45544,-163.48297,6
300434063921240,2019-06-29 14:39:38,72.45544,-163.48297,6
300434063921240,2019-06-29 14:39:48,72.45544,-163.48297,5
300434063921240,2019-06-29 14:39:59,72.45544,-163.48297,5
300434063921240,2019-06-29 14:40:08,72.45544,-163.48297,5
300434063921240,2019-06-29 14:40:16,72.46513,-163.59703,4
300434063921240,2019-06-29 14:40:25,72.45544,-163.48297,4
300434063921240,2019-06-29 14:41:32,72.45544,-163.48297,2
300434063921240,2019-06-29 14:41:40,72.45544,-163.48297,2
300434063921240,2019-06-29 14:41:49,72.42266,-163.51671,2
300434063921240,2019-06-29 14:41:57,72.42266,-163.51671,2
300434063921240,2019-06-29 14:42:06,72.46513,-163.59703,2
300434063921240,2019-06-29 14:42:15,72.45544,-163.48297,2
