"B1, B2",952-1662-1-ND,2,20
C1,399-8787-1-ND,1,10
"C2,C3,C5,C6,C7,C9,C10,C11,C12,C13,C14,C15,C16,C17,C22,C23,C24,C25,C27,C28,C29",399-5089-1-ND,21,210
"C4,C8",587-3416-1-ND,2,20
"C18,C26",311-1376-1-ND,2,20
C19,399-10443-1-ND,1,10
"C20,C21",587-3413-1-ND,2,20
D1,MBR0540TPMSCT-ND,1,10
"D2, D3",497-6653-1-ND,2,20
"JP1, JP3, JP4, JP6",WM10658-ND,4,40
JP2,WM10669-ND,1,10
JP5,A97594-ND,1,10
JP7,WM10679-ND,1,10
JP8,WM7614CT-ND,1,10
JP9,WM1920-ND,1,10
"Q1, Q2",BSS138-FDICT-ND,2,20
"Q3,Q4,Q5,Q6,Q7,Q8",785-1006-1-ND,6,60
R1,P137KDBDKR-ND,1,10
R2,P10KDBCT-ND,1,10
R3,P2.0KDBCT-ND,1,10
R4,311-200KFRCT-ND,1,10
"R5,R7,R9,R11",RMCF0603FT3K74CT-ND,4,40
R6,P324KBCCT-ND,1,10
"R8,R10,R26,R28",MCT0603-10.0K-CFCT-ND,4,40
R12,Y1627-50KCT-ND,1,10
"R13,R14,R15,R17,R18,R21,R23,R25,R27,R30,R32",P100KHCT-ND,11,110
"R16,R19,R20,R22,R24,R31",RMCF0603FG100KCT-ND,6,60
R29,541-6.98HHCT-ND,1,10
"SHTDN, ALARM,  MOSI3v3, MISO3v3, SCK3v3, MOSI5v, MISO5v, SCK5v, SDA3V3, SCL3V3, SDA5V, SCL5V, VPAR",36-5004-ND,13,130
"GND1,GND2,GND3",36-5001-ND,3,30
"VBATT,+5V,+3V3, +3VP*,+3VT*",36-5000-ND,5,50
"U1,U4",MAX6126AASA30+-ND,2,20
U2,296-14298-1-ND,1,10
U3,296-29510-1-ND,1,10
U6,296-12966-1-ND,1,10
U7,ADG836LYRMZ-ND,1,10
"U5,U8",NL17SZ07DFT2GOSCT-ND,2,20
U9,https://www.adafruit.com/products/790,1,10
U10,296-9848-1-ND,1,10
U11,MAX4624EUT+TCT-ND,1,10
U14,M74VHC1GT125DF1GOSCT-ND,1,10
U15,296-14529-1-ND,1,10
U16,3M5607CT-ND,1,10
U17,ADXL345BCCZ-ND,1,10
U18,296-38557-1-ND,1,10
U19,NC7S14M5XCT-ND,1,10
U20,DS3234SN#T&RCT-ND,1,10
U21,LT1129IQ-5#PBF-ND,1,10
U22,296-12982-1-ND,1,10
U23,LT1634BIS8-1.25#PBF-ND,1,10
U24,296-14299-1-ND,1,10
U25,296-24304-1-ND,1,10
U26,296-23759-1-ND,1,10
HF3,S7106-ND,1,10
"HM1,HM2,HM3,HM4,HM5,HM6,HM7",952-2271-ND,7,70
"HM8,HM9,HM10",952-1843-ND ,3,30
