Date(UTC)	Depth(m)	Temperature(C)	PAR	Angle	Dryness
2015-07-16 07:22:33.00	-0.02	-2.580	1.63	26.000	0
2015-07-16 07:52:33.00	0.02	-1.620	1.48	0.000	0
2015-07-16 08:22:33.00	0.04	-1.690	1.5	32.000	0
2015-07-16 08:52:33.00	0.04	-1.660	1.5	35.000	0
2015-07-16 09:22:33.00	0.05	-1.770	1.49	17.000	0
2015-07-16 09:52:33.00	0.03	-1.750	1.54	21.000	0
2015-07-16 10:22:33.00	0.00	-1.740	1.61	35.000	0
2015-07-16 10:52:33.00	0.00	-1.800	1.99	41.000	0
2015-07-16 11:22:33.00	0.01	-1.880	2.36	24.000	0
2015-07-16 11:52:33.00	0.04	-1.810	2.34	5.000	0
2015-07-16 12:22:33.00	0.03	-1.820	2.61	23.000	0
2015-07-16 12:52:33.00	0.04	-1.880	2.66	16.000	0
2015-07-16 13:22:33.00	0.04	-1.790	2.23	29.000	0
2015-07-16 13:52:33.00	0.02	-1.880	1.99	9.000	0
2015-07-16 14:22:33.00	0.00	-1.840	1.65	14.000	0
2015-07-16 14:52:33.00	0.03	-1.810	1.58	23.000	0
2015-07-16 15:22:33.00	0.02	-1.770	1.51	44.000	0
2015-07-16 15:52:33.00	0.02	-1.840	1.49	21.000	0
2015-07-16 16:22:33.00	0.01	-1.810	1.51	21.000	0
2015-07-16 16:52:33.00	0.02	-1.810	1.5	27.000	0
2015-07-16 17:22:33.00	0.02	-1.840	1.5	28.000	0
2015-07-16 17:52:33.00	0.00	-1.980	1.49	7.000	0
2015-07-16 18:22:33.00	0.01	-2.010	1.52	35.000	0
2015-07-16 18:52:33.00	0.02	-2.070	1.5	16.000	0
2015-07-16 19:22:33.00	0.02	-1.900	1.5	38.000	0
2015-07-16 19:52:33.00	0.04	-1.890	1.52	34.000	0
2015-07-16 20:22:33.00	0.00	-1.910	1.5	13.000	0
2015-07-16 20:52:33.00	0.00	-1.970	1.51	29.000	0
2015-07-17 01:22:33.00	0.02	-1.930	1.5	32.000	0
2015-07-17 01:52:33.00	0.03	-1.940	1.51	21.000	0
2015-07-17 02:22:33.00	0.04	-1.950	1.51	12.000	0
2015-07-17 02:52:33.00	0.02	-1.910	1.49	37.000	0
2015-07-17 07:22:33.00	0.11	-2.030	1.51	0.000	0
2015-07-17 07:52:33.00	0.09	-2.000	1.5	26.000	0
2015-07-17 08:22:33.00	0.09	-1.930	1.49	15.000	0
2015-07-17 08:52:33.00	0.12	-1.880	1.5	21.000	0
2015-07-17 09:20:36.00	0.31	1.450	276.36	32.000	0
2015-07-17 09:20:36.25	0.31	1.450	277.9	32.000	0
2015-07-17 09:20:36.50	0.33	1.460	279.11	32.000	0
2015-07-17 09:20:36.75	0.28	1.460	279.34	32.000	0
2015-07-17 09:20:37.00	0.29	1.460	270	23.000	0
2015-07-17 09:20:37.25	0.31	1.460	274.96	23.000	0
2015-07-17 09:20:37.50	0.29	1.460	272.95	23.000	0
2015-07-17 09:20:37.75	0.29	1.450	274.97	23.000	0
2015-07-17 09:20:40.00	0.31	1.510	274.88	27.000	0
2015-07-17 09:20:40.25	0.28	1.530	274.37	27.000	0
2015-07-17 09:20:40.50	0.29	1.530	273.87	27.000	0
2015-07-17 09:20:40.75	0.31	1.540	273.09	27.000	0
2015-07-17 09:20:44.00	0.30	1.630	272.92	28.000	0
2015-07-17 09:20:44.25	0.30	1.640	272.71	28.000	0
2015-07-17 09:20:44.50	0.30	1.650	273.11	28.000	0
2015-07-17 09:20:44.75	0.29	1.660	273.6	28.000	0
2015-07-17 09:20:45.00	0.31	1.650	273.88	28.000	0
2015-07-17 09:20:45.25	0.30	1.660	274.34	28.000	0
2015-07-17 09:20:45.50	0.29	1.670	274.56	28.000	0
2015-07-17 09:20:45.75	0.29	1.670	274.56	28.000	0
2015-07-17 09:20:46.00	0.30	1.670	274.31	28.000	0
2015-07-17 09:20:46.25	0.31	1.680	273.78	28.000	0
2015-07-17 09:20:46.50	0.29	1.680	273.17	28.000	0
2015-07-17 09:20:46.75	0.29	1.690	272.67	28.000	0
2015-07-17 09:20:49.00	0.29	1.710	274.12	28.000	0
2015-07-17 09:20:49.25	0.30	1.720	273.76	28.000	0
2015-07-17 09:20:49.50	0.31	1.720	273.46	28.000	0
2015-07-17 09:20:49.75	0.32	1.720	273.17	28.000	0
2015-07-17 09:20:52.00	0.29	1.740	274.08	28.000	0
2015-07-17 09:20:52.25	0.29	1.750	273.95	28.000	0
2015-07-17 09:20:52.50	0.34	1.750	273.88	28.000	0
2015-07-17 09:20:52.75	0.29	1.750	273.79	28.000	0
2015-07-17 09:20:53.00	0.33	1.740	273.77	28.000	0
2015-07-17 09:20:53.25	0.34	1.750	273.82	28.000	0
2015-07-17 09:20:53.50	0.29	1.750	273.91	28.000	0
2015-07-17 09:20:53.75	0.29	1.750	274.09	28.000	0
2015-07-17 09:20:54.00	0.29	1.750	274.26	28.000	0
2015-07-17 09:20:54.25	0.29	1.760	274.47	28.000	0
2015-07-17 09:20:54.50	0.32	1.760	274.59	28.000	0
2015-07-17 09:20:54.75	0.30	1.760	274.64	28.000	0
2015-07-17 09:20:55.00	0.29	1.750	274.56	29.000	0
2015-07-17 09:20:55.25	0.31	1.760	274.48	29.000	0
2015-07-17 09:20:55.50	0.30	1.770	274.49	29.000	0
2015-07-17 09:20:55.75	0.31	1.760	274.45	29.000	0
2015-07-17 09:20:56.00	0.30	1.760	274.6	29.000	0
2015-07-17 09:20:56.25	0.32	1.770	274.72	29.000	0
2015-07-17 09:20:56.50	0.30	1.770	274.9	29.000	0
2015-07-17 09:20:56.75	0.33	1.770	275.07	29.000	0
2015-07-17 09:20:58.00	0.29	1.770	275.09	28.000	0
2015-07-17 09:20:58.25	0.32	1.780	275.16	28.000	0
2015-07-17 09:20:58.50	0.28	1.780	275.15	28.000	0
2015-07-17 09:20:58.75	0.29	1.780	275.34	28.000	0
2015-07-17 09:21:00.00	0.30	1.780	276.08	28.000	0
2015-07-17 09:21:00.25	0.31	1.780	276.13	28.000	0
2015-07-17 09:21:00.50	0.30	1.790	276.08	28.000	0
