,time,pressure,fr_temp,fr_temp_ADC,sr_temp,sr_temp_ADC,temp_ref,par,fluor,tilt,datetime
0,0,-4.8675537109375,-273.149999079165,28089,-273.1499990803907,28218,8547,0.0,-10.56485351,179,2021-02-26 18:00:00
1,30,-4.8675537109375,-273.14999907932696,28106,-273.1499990805517,28235,8547,0.0,-10.585774012,179,2021-02-26 18:00:30
2,60,-4.8675537109375,-273.1499990794698,28121,-273.14999908073145,28254,8547,0.0,-10.56485351,179,2021-02-26 18:01:00
3,90,-4.8675537109375,-273.1499990796505,28140,-273.1499990808921,28271,8547,0.0,-10.56485351,179,2021-02-26 18:01:30
4,120,-4.8675537109375,-273.1499990798026,28156,-273.1499990810526,28288,8547,0.0,-10.56485351,179,2021-02-26 18:02:00
5,150,-4.8675537109375,-273.14999907997355,28174,-273.14999908117534,28301,8547,0.0,-10.56485351,179,2021-02-26 18:02:30
6,180,-4.8675537109375,-273.1499990801348,28191,-273.1499990813733,28322,8547,0.0,-10.56485351,179,2021-02-26 18:03:00
7,210,-4.8675537109375,-273.14999908030546,28209,-273.14999908151464,28337,8547,0.0,-10.56485351,180,2021-02-26 18:03:30
8,240,-4.8675537109375,-273.14999908045706,28225,-273.14999908169347,28356,8547,0.0,-10.56485351,179,2021-02-26 18:04:00
9,270,-4.8675537109375,-273.1499990806463,28245,-273.1499990818721,28375,8547,0.0,-10.585774012,179,2021-02-26 18:04:30
10,300,-4.8675537109375,-273.1499990807787,28259,-273.14999908201304,28390,8547,0.0,-10.585774012,179,2021-02-26 18:05:00
11,330,-4.8675537109375,-273.1499990809677,28279,-273.14999908218203,28408,8547,0.0,-10.585774012,179,2021-02-26 18:05:30
12,360,-4.8675537109375,-273.1499990811093,28294,-273.1499990823321,28424,8547,0.0,-10.56485351,179,2021-02-26 18:06:00
13,390,-4.8675537109375,-273.14999908126964,28311,-273.1499990825102,28443,8547,0.0,-10.585774012,179,2021-02-26 18:06:30
