,time,pressure,fr_temp,fr_temp_ADC,sr_temp,sr_temp_ADC,temp_ref,par,fluor,tilt,datetime
1,0,-4.8675537109375,0.7201480363466999,26808,0.7247036288991922,26748,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:00:00
2,30,-4.8675537109375,0.7076302083457335,26825,0.714868057618105,26761,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:00:30
3,60,-4.8675537109375,0.6965924585070411,26840,0.7042819741894277,26775,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:01:00
4,90,-4.8675537109375,0.684826487913142,26856,0.6937021789526057,26789,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:01:30
5,120,-4.8675537109375,0.6752724288938907,26869,0.6823736540166578,26804,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:02:00
6,150,-4.8675537109375,0.6642549598635696,26884,0.6672801554751118,26824,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:02:30
7,180,-4.8675537109375,0.6517768331414686,26901,0.656722313482021,26838,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:03:00
8,210,-4.8675537109375,0.6422407068757252,26914,0.6416505335571401,26858,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:03:30
9,240,-4.8675537109375,0.6290453715305944,26932,0.6311078739499294,26872,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:04:00
10,270,-4.8675537109375,0.6180568180915316,26947,0.6250862989300572,26880,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:04:30
11,300,-4.8675537109375,0.6085389571677524,26960,0.6085374624526025,26902,8534,0.13568493150684932,-10.77405853,175,2020-03-05 20:05:00
12,330,-4.8675537109375,0.59683173594766,26976,0.6002688100790579,26913,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:05:30
13,360,-4.8675537109375,0.5873253560402532,26989,0.5927551851900148,26923,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:06:00
14,390,-4.8675537109375,0.5741711575340673,27007,0.5799892979248966,26940,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:06:30
15,420,-4.8675537109375,0.5646770214033836,27020,0.5694830856127737,26954,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:07:00
16,450,-4.8675537109375,0.5529989665304811,27036,0.5559842060409892,26972,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:07:30
17,480,-4.8675537109375,0.5420578328539136,27051,0.544742956899313,26987,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:08:00
18,510,-4.8675537109375,0.5303947932846427,27067,0.5305142290683307,27006,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:08:30
19,540,-4.8675537109375,0.5201959795259086,27081,0.5170448703516399,27024,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:09:00
20,570,-4.8675537109375,0.510003081742525,27095,0.5110617605504331,27032,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:09:30
21,600,-4.8675537109375,0.4990886773572356,27110,0.49910157457873083,27048,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:10:00
22,630,-4.8675537109375,0.488181048803483,27125,0.4893898413267834,27061,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:10:30
23,660,-4.8675537109375,0.4758272509284325,27142,0.47669787831102894,27078,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:11:00
24,690,-4.8675537109375,0.4649340508290152,27157,0.46774429553710206,27090,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:11:30
25,720,-4.8675537109375,0.4540476016039747,27172,0.4565586523116849,27105,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:12:00
26,750,-4.8675537109375,0.4431678953167193,27187,0.44612506265184493,27119,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:12:30
27,780,-4.8675537109375,0.43229492404447,27202,0.436442207929872,27132,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:13:00
28,810,-4.8675537109375,0.41998035516832033,27219,0.4267646232726747,27145,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:13:30
29,840,-4.8675537109375,0.4091217255110564,27234,0.4096556361701573,27168,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:14:00
30,870,-4.8675537109375,0.3982698061324186,27249,0.3992495256840698,27182,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:14:30
31,900,-4.8675537109375,0.3874245891659598,27264,0.38884950313325817,27196,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:15:00
32,930,-4.8675537109375,0.37586373643489424,27280,0.3747449123763431,27215,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:15:30
33,960,-4.8675537109375,0.3643104911113255,27296,0.36287603739310725,27231,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:16:00
34,990,-4.8675537109375,0.35565054376661465,27308,0.3495330205230971,27249,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:16:30
35,1020,-4.8675537109375,0.3426686274232793,27326,0.3465692656434385,27253,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:17:00
36,1050,-4.8675537109375,0.3325782147020391,27340,0.33323848217639807,27271,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:17:30
37,1080,-4.8675537109375,0.32177349119388055,27355,0.3206574740765973,27288,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:18:00
38,1110,-4.8675537109375,0.31169508000022006,27369,0.30808536794086194,27305,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:18:30
39,1140,-4.8675537109375,0.29874562102622804,27387,0.299216293285383,27317,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:19:00
40,1170,-4.8675537109375,0.2879616995229526,27402,0.2873977437790245,27333,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:19:30
41,1200,-4.8675537109375,0.2793393312104513,27414,0.27116006627056777,27355,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:20:00
42,1230,-4.8675537109375,0.2671315575343556,27431,0.26452165589381593,27364,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:20:30
43,1260,-4.8675537109375,0.25708447044019067,27445,0.25641141117068855,27375,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:21:00
44,1290,-4.8675537109375,0.24417523525897877,27463,0.24093849327312,27396,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:21:30
45,1320,-4.8675537109375,0.23342479064859845,27478,0.22768671356323011,27414,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:22:00
46,1350,-4.8675537109375,0.22268093002207934,27493,0.2188576845700254,27426,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:22:30
47,1380,-4.8675537109375,0.21051250429246693,27510,0.2041523849752025,27446,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:23:00
48,1410,-4.8675537109375,0.1997826639482696,27525,0.19386591718784985,27460,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:23:30
49,1440,-4.8675537109375,0.18977406507707428,27539,0.1835854058899713,27474,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:24:00
50,1470,-4.8675537109375,0.17905690064827695,27554,0.17477827500840704,27486,8534,0.13568493150684932,-10.77405853,175,2020-03-05 20:24:30
51,1500,-4.8675537109375,0.1676324728466625,27570,0.16744233559541044,27496,8534,0.13568493150684932,-10.77405853,177,2020-03-05 20:25:00
52,1530,-4.8675537109375,0.15906903366101233,27582,0.1542452799147327,27514,8534,0.13568493150684932,-10.77405853,176,2020-03-05 20:25:30
