,time,pressure,ttp_temp,ttp_temp_ADC,sst_temp,sst_temp_ADC,temp_ref,par,fluor,tilt,datetime,id,dep_lat,dep_lon
0,0,8.088378906,3.541625566,23318,3.55122593,23165,8514,0,0,0,10/1/2019 00:00,3.00434E+14,59.7807,172.8528
1,3600,8.090820313,3.546811692,23312,3.556436379,23159,8514,0,0,0,10/1/2019 01:00,3.00434E+14,59.7807,172.8528
2,7200,8.104553223,3.550269936,23308,3.559910849,23155,8514,0,0,0,10/1/2019 02:00,3.00434E+14,59.7807,172.8528
3,10800,8.118286133,3.548540731,23310,3.55817353,23157,8514,0,0,0,10/1/2019 03:00,3.00434E+14,59.7807,172.8528
4,14400,8.135070801,3.543354109,23316,3.552962579,23163,8514,0,0,0,10/1/2019 04:00,3.00434E+14,59.7807,172.8528
5,18000,8.134460449,3.549405313,23309,3.559042168,23156,8514,0,0,1,10/1/2019 05:00,3.00434E+14,59.7807,172.8528
6,21600,8.134155273,3.561513801,23295,3.570338282,23143,8514,0,0,1,10/1/2019 06:00,3.00434E+14,59.7807,172.8528
7,25200,8.121948242,3.56843658,23287,3.578162821,23134,8514,0,0,1,10/1/2019 07:00,3.00434E+14,59.7807,172.8528
8,28800,8.105773926,3.564974859,23291,3.575554264,23137,8514,0,0,1,10/1/2019 08:00,3.00434E+14,59.7807,172.8528
9,32400,8.092346191,3.555458543,23302,3.565992785,23148,8514,0,0,0,10/1/2019 09:00,3.00434E+14,59.7807,172.8528
10,36000,8.072509766,3.546811692,23312,3.556436379,23159,8514,0,0,1,10/1/2019 10:00,3.00434E+14,59.7807,172.8528
11,39600,8.05480957,3.547676191,23311,3.557304933,23158,8514,0,0,0,10/1/2019 11:00,3.00434E+14,59.7807,172.8528
12,43200,8.054504395,3.551999306,23306,3.562517141,23152,8514,0,0,0,10/1/2019 12:00,3.00434E+14,59.7807,172.8528
13,46800,8.055725098,3.532985328,23328,3.543413083,23174,8514,0,0,0,10/1/2019 13:00,3.00434E+14,59.7807,172.8528
14,50400,8.061828613,3.51054002,23354,3.519994858,23201,8514,0,0,0,10/1/2019 14:00,3.00434E+14,59.7807,172.8528
15,54000,8.081665039,3.545082818,23314,3.553830966,23162,8514,0,0,0,10/1/2019 15:00,3.00434E+14,59.7807,172.8528
16,57600,8.105163574,3.564974859,23291,3.574684829,23138,8514,0,0,1,10/1/2019 16:00,3.00434E+14,59.7807,172.8528
17,61200,8.119506836,3.564974859,23291,3.574684829,23138,8514,0,0,0,10/1/2019 17:00,3.00434E+14,59.7807,172.8528
