IMEI_message_id,datetime,latitude,longitude,CEPradius
300434063477010,2020-10-31 07:03:04,59.94237,-175.48601,7
300434063477010,2020-10-31 07:51:35,59.92191,-175.41466,3
300434063477010,2020-10-31 23:52:02,59.89581,-175.56291,2
300434063477010,2020-10-31 23:52:12,59.89581,-175.56291,2
300434063477010,2020-11-01 05:58:30,59.89581,-175.56291,3
300434063477010,2020-11-01 06:40:35,59.89581,-175.56291,2
300434063477010,2020-11-01 06:42:29,59.89819,-175.63420,2
300434063477010,2020-11-01 07:07:12,59.86722,-175.63963,5
300434063477010,2020-11-01 07:07:21,59.86722,-175.63963,5
300434063477010,2020-11-01 07:09:04,59.86722,-175.63963,4
300434063477010,2020-11-01 14:33:58,59.87186,-175.78207,3
300434063477010,2020-11-02 03:04:17,59.83167,-176.07200,8
300434063477010,2020-11-02 03:48:44,59.82285,-175.78732,3
300434063477010,2020-11-02 06:15:05,59.87413,-175.85331,3
300434063477010,2020-11-02 07:00:48,59.82734,-175.92963,6
300434063477010,2020-11-02 11:09:03,59.82734,-175.92963,3
300434063477010,2020-11-02 11:10:50,59.85832,-175.92456,3
300434063477010,2020-11-02 14:17:41,59.82734,-175.92963,3
300434063477010,2020-11-02 14:18:59,59.82734,-175.92963,4
300434063477010,2020-11-02 15:00:32,59.82952,-176.00081,3
300434063477010,2020-11-02 15:00:43,59.82734,-175.92963,3
300434063477010,2020-11-02 15:04:16,59.82734,-175.92963,2
300434063477010,2020-11-02 15:24:01,59.87636,-175.92456,4
300434063477010,2020-11-02 15:24:10,59.82734,-175.92963,4
300434063477010,2020-11-02 15:24:19,59.82734,-175.92963,4
300434063477010,2020-11-02 15:28:52,59.82511,-175.85847,7
300434063477010,2020-11-02 15:29:06,59.82511,-175.85847,8
300434063477010,2020-11-02 16:19:17,59.87636,-175.92456,4
300434063477010,2020-11-02 16:19:27,59.87636,-175.92456,4
300434063477010,2020-11-02 16:21:21,59.85832,-175.92456,3
300434063477010,2020-11-02 20:47:44,59.82734,-175.92963,2
300434063477010,2020-11-02 22:51:07,59.82511,-175.85847,2
300434063477010,2020-11-03 00:35:33,59.82734,-175.92963,5
300434063477010,2020-11-03 03:23:28,59.82511,-175.85847,9
300434063477010,2020-11-03 13:26:32,59.79415,-175.86362,4
300434063477010,2020-11-03 15:30:44,59.82511,-175.85847,5
300434063477010,2020-11-03 19:35:37,59.82285,-175.78732,3
300434063477010,2020-11-03 19:38:16,59.82285,-175.78732,4
300434063477010,2020-11-03 20:41:14,59.82285,-175.78732,2
300434063477010,2020-11-04 04:47:19,59.82511,-175.85847,4
300434063477010,2020-11-04 04:47:34,59.82285,-175.78732,4
300434063477010,2020-11-04 06:31:18,59.82511,-175.85847,2
300434063477010,2020-11-04 06:33:10,59.82511,-175.85847,2
IMEI_message_id,datetime,latitude,longitude,CEPradius
300434063477010,2020-10-31 07:03:04,59.94237,-175.48601,7
300434063477010,2020-10-31 07:51:35,59.92191,-175.41466,3
300434063477010,2020-10-31 23:52:02,59.89581,-175.56291,2
300434063477010,2020-10-31 23:52:12,59.89581,-175.56291,2
300434063477010,2020-11-01 05:58:30,59.89581,-175.56291,3
300434063477010,2020-11-01 06:40:35,59.89581,-175.56291,2
300434063477010,2020-11-01 06:42:29,59.89819,-175.63420,2
300434063477010,2020-11-01 07:07:12,59.86722,-175.63963,5
300434063477010,2020-11-01 07:07:21,59.86722,-175.63963,5
300434063477010,2020-11-01 07:09:04,59.86722,-175.63963,4
300434063477010,2020-11-01 14:33:58,59.87186,-175.78207,3
300434063477010,2020-11-02 03:04:17,59.83167,-176.07200,8
300434063477010,2020-11-02 03:48:44,59.82285,-175.78732,3
300434063477010,2020-11-02 06:15:05,59.87413,-175.85331,3
300434063477010,2020-11-02 07:00:48,59.82734,-175.92963,6
300434063477010,2020-11-02 11:09:03,59.82734,-175.92963,3
