,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,datetime,id,dep_lat,dep_lon
1,10800,0.14556884765625,-1.6509686181125858,30272,-1.6742214981406391,30239,8519,0.0373972602739726,0,3,2019-01-10 02:00:00,300434063928220,67.91,168.189
2,14400,0.14556884765625,-1.6591782596524922,30285,-1.6806587731180116,30249,8519,0.0373972602739726,0,3,2019-01-10 03:00:00,300434063928220,67.91,168.189
3,18000,0.14617919921875,-1.6598095994702362,30286,-1.6838765189859828,30254,8519,0.0373972602739726,0,3,2019-01-10 04:00:00,300434063928220,67.91,168.189
4,21600,0.14617919921875,-1.6604409148582135,30287,-1.6870936707184683,30259,8519,0.0373972602739726,0,3,2019-01-10 05:00:00,300434063928220,67.91,168.189
5,25200,0.1458740234375,-1.6598095994702362,30286,-1.6903102285240266,30264,8519,0.0373972602739726,0,3,2019-01-10 06:00:00,300434063928220,67.91,168.189
6,28800,0.14617919921875,-1.6604409148582135,30287,-1.6922398782091364,30267,8519,0.0373972602739726,0,3,2019-01-10 07:00:00,300434063928220,67.91,168.189
7,32400,0.14617919921875,-1.6598095994702362,30286,-1.6935261926111025,30269,8519,0.0373972602739726,0,3,2019-01-10 08:00:00,300434063928220,67.91,168.189
8,36000,0.14678955078125,-1.6591782596524922,30285,-1.6941693142006216,30270,8519,0.0373972602739726,0,3,2019-01-10 09:00:00,300434063928220,67.91,168.189
9,39600,0.146484375,-1.6579155067206557,30283,-1.6941693142006216,30270,8519,0.0373972602739726,0,3,2019-01-10 10:00:00,300434063928220,67.91,168.189
10,43200,0.1458740234375,-1.6579155067206557,30283,-1.6954554861652014,30272,8519,0.0373972602739726,0,3,2019-01-10 11:00:00,300434063928220,67.91,168.189
11,46800,0.14617919921875,-1.6579155067206557,30283,-1.6948124120514763,30271,8519,0.0373972602739726,0,3,2019-01-10 12:00:00,300434063928220,67.91,168.189
12,50400,0.1458740234375,-1.6560211940556542,30280,-1.6948124120514763,30271,8519,0.0373972602739726,0,3,2019-01-10 13:00:00,300434063928220,67.91,168.189
13,54000,0.145263671875,-1.6560211940556542,30280,-1.6954554861652014,30272,8519,0.0373972602739726,0,3,2019-01-10 14:00:00,300434063928220,67.91,168.189
14,57600,0.14495849609375,-1.6566526560486068,30281,-1.6954554861652014,30272,8519,0.0373972602739726,0,3,2019-01-10 15:00:00,300434063928220,67.91,168.189
15,61200,0.14556884765625,-1.655389707622362,30279,-1.6948124120514763,30271,8519,0.0373972602739726,0,3,2019-01-10 16:00:00,300434063928220,67.91,168.189
16,64800,0.145263671875,-1.6572840936030389,30282,-1.696098536543559,30273,8519,0.0373972602739726,0,3,2019-01-10 17:00:00,300434063928220,67.91,168.189
17,68400,0.145263671875,-1.655389707622362,30279,-1.6954554861652014,30272,8519,0.0373972602739726,0,3,2019-01-10 18:00:00,300434063928220,67.91,168.189
18,72000,0.1446533203125,-1.6560211940556542,30280,-1.6954554861652014,30272,8519,0.0373972602739726,0,3,2019-01-10 19:00:00,300434063928220,67.91,168.189
19,75600,0.1446533203125,-1.6579155067206557,30283,-1.696098536543559,30273,8519,0.0373972602739726,0,3,2019-01-10 20:00:00,300434063928220,67.91,168.189
20,79200,0.1446533203125,-1.6604409148582135,30287,-1.6973845661006521,30275,8519,0.0373972602739726,0,3,2019-01-10 21:00:00,300434063928220,67.91,168.189
21,82800,0.14373779296875,-1.6604409148582135,30287,-1.6986705007362275,30277,8519,0.0373972602739726,0,3,2019-01-10 22:00:00,300434063928220,67.91,168.189
22,86400,0.1434326171875,-1.6604409148582135,30287,-1.6993134324624748,30278,8519,0.0373972602739726,0,3,2019-01-10 23:00:00,300434063928220,67.91,168.189
23,90000,0.14373779296875,-1.6598095994702362,30286,-1.6986705007362275,30277,8519,0.05609589041095891,0,3,2019-01-11 00:00:00,300434063928220,67.91,168.189
24,93600,0.1434326171875,-1.6598095994702362,30286,-1.698027545282855,30276,8519,0.0373972602739726,0,3,2019-01-11 01:00:00,300434063928220,67.91,168.189
25,97200,0.142822265625,-1.6604409148582135,30287,-1.6986705007362275,30277,8519,0.0373972602739726,0,3,2019-01-11 02:00:00,300434063928220,67.91,168.189
26,100800,0.14251708984375,-1.6610722058182432,30288,-1.699956340463359,30279,8519,0.0373972602739726,0,3,2019-01-11 03:00:00,300434063928220,67.91,168.189
