,time,pressure,topside_temp,topside_temp_ADC,underside_temp,underside_temp_ADC,temp_ref,par,fluor,tilt,datetime
1,0,-4.8675537109375,138.03363682469052,26720,105.05677791161094,26448,8486,0.038767123287671235,-10.690376522000001,178,2020-03-05 20:00:00
2,30,-4.8675537109375,138.01397919068523,26739,105.05329044205945,26451,8486,0.038767123287671235,-10.690376522000001,175,2020-03-05 20:00:30
3,60,-4.8675537109375,137.99640313698836,26756,105.04283047425088,26460,8486,0.038767123287671235,-10.690376522000001,178,2020-03-05 20:01:00
4,90,-4.8675537109375,137.98400352805032,26768,105.02424400966981,26476,8486,0.038767123287671235,-10.690376522000001,174,2020-03-05 20:01:30
5,120,-4.8675537109375,137.96644734480185,26785,105.0114725166992,26487,8486,0.038767123287671235,-10.690376522000001,174,2020-03-05 20:02:00
6,150,-4.8675537109375,137.94993450040255,26801,104.99290553655442,26503,8486,0.038767123287671235,-10.690376522000001,177,2020-03-05 20:02:30
7,180,-4.8675537109375,137.93961919756543,26811,104.97203146210717,26521,8486,0.038767123287671235,-10.690376522000001,175,2020-03-05 20:03:00
8,210,-4.8675537109375,137.92003118232861,26830,104.9627587734957,26529,8486,0.038767123287671235,-10.690376522000001,176,2020-03-05 20:03:30
9,240,-4.8675537109375,137.90560717149987,26844,104.93148467347015,26556,8486,0.038767123287671235,-10.690376522000001,178,2020-03-05 20:04:00
10,270,-4.8675537109375,137.89016158575248,26859,104.91065344109751,26574,8486,0.038767123287671235,-10.690376522000001,174,2020-03-05 20:04:30
11,300,-4.8675537109375,137.87472500192996,26874,104.89214897276446,26590,8486,0.038767123287671235,-10.690376522000001,176,2020-03-05 20:05:00
12,330,-4.8675537109375,137.85621296944595,26892,104.8736559559855,26606,8486,0.038767123287671235,-10.690376522000001,177,2020-03-05 20:05:30
13,360,-4.8675537109375,137.84182366234228,26906,104.84824673066731,26628,8486,0.038767123287671235,-10.690376522000001,178,2020-03-05 20:06:00
14,390,-4.8675537109375,137.82538830729555,26922,104.82055219596879,26652,8486,0.038767123287671235,-10.690376522000001,176,2020-03-05 20:06:30
15,420,-4.8675537109375,137.81101573375912,26936,104.78366603438286,26684,8486,0.038767123287671235,-10.690376522000001,176,2020-03-05 20:07:00
